V5.p X,V5.p Y
5.449999999900013e-11,-9.130799966121696e-07
5.499999999900013e-11,-9.130799935059068e-07
5.549999999900013e-11,-9.13079997207532e-07
5.599999999900013e-11,-9.130799933907649e-07
5.649999999900013e-11,-9.130799965234576e-07
5.699999999900014e-11,-9.130799944018683e-07
5.749999999900013e-11,-9.130799950025677e-07
5.799999999900014e-11,-9.130799953851913e-07
5.849999999900014e-11,-9.130799944256478e-07
5.899999999900014e-11,-9.13079996119553e-07
5.949999999900013e-11,-9.130799941471478e-07
5.999999999900015e-11,-9.130799961463839e-07
6.049999999900014e-11,-9.130799942468536e-07
6.099999999900014e-11,-9.130799962459426e-07
6.149999999900014e-11,-9.130799940968338e-07
6.199999999900015e-11,-9.130799962665145e-07
6.249999999900015e-11,-9.13079993415215e-07
6.299999999900015e-11,-9.130799969042744e-07
6.349999999900015e-11,-9.1307999326305e-07
6.399999999900014e-11,-9.13079997049145e-07
6.449999999900016e-11,-9.130799930517191e-07
6.499999999900015e-11,-9.130799972335999e-07
6.549999999900015e-11,-9.130799934284766e-07
6.599999999900015e-11,-9.130799970506951e-07
6.649999999900016e-11,-9.130799932062056e-07
6.699999999900016e-11,-9.130799964536898e-07
6.749999999900016e-11,-9.130799931628689e-07
6.799999999900016e-11,-9.13079996697325e-07
6.849999999900017e-11,-9.13079992976797e-07
6.899999999900017e-11,-9.130799970867564e-07
6.949999999900016e-11,-9.130799924024884e-07
6.999999999900016e-11,-9.130799980347673e-07
7.049999999900016e-11,-9.130799922316809e-07
7.099999999900017e-11,-9.130799984140043e-07
7.149999999900017e-11,-9.130799915486843e-07
7.199999999900017e-11,-9.130799994470431e-07
7.249999999900017e-11,-9.130799910138791e-07
7.299999999900018e-11,-9.130799990771904e-07
7.349999999900018e-11,-9.130799911730898e-07
7.399999999900017e-11,-9.130799994852838e-07
7.449999999900017e-11,-9.130799907310972e-07
7.499999999900017e-11,-9.130799998800784e-07
7.549999999900018e-11,-9.130799907263389e-07
7.599999999900018e-11,-9.130799997146836e-07
7.649999999900018e-11,-9.130799910689566e-07
7.699999999900018e-11,-9.130799991435134e-07
7.749999999900019e-11,-9.130799911362251e-07
7.799999999900019e-11,-9.13079999566828e-07
7.849999999900018e-11,-9.13079990741691e-07
7.899999999900018e-11,-9.130799999455783e-07
7.949999999900018e-11,-9.130799903306062e-07
7.999999999900019e-11,-9.130800000863202e-07
8.049999999900019e-11,-9.130799904644006e-07
8.099999999900019e-11,-9.130800001771531e-07
8.149999999900019e-11,-9.130799902440607e-07
8.19999999990002e-11,-9.13080000350635e-07
8.24999999990002e-11,-9.130799893167892e-07
8.299999999900019e-11,-9.130800010933303e-07
8.349999999900019e-11,-9.130799892029734e-07
8.399999999900019e-11,-9.130800013088485e-07
8.44999999990002e-11,-9.13079989449724e-07
8.49999999990002e-11,-9.130800010184939e-07
8.54999999990002e-11,-9.130799892142512e-07
8.59999999990002e-11,-9.130800010613559e-07
8.649999999900021e-11,-9.13079988937274e-07
8.699999999900021e-11,-9.130800013764895e-07
8.749999999900021e-11,-9.130799891270224e-07
8.79999999990002e-11,-9.130800012064734e-07
8.849999999900021e-11,-9.130799893565067e-07
8.899999999900021e-11,-9.130800006588996e-07
8.949999999900021e-11,-9.130799892745347e-07
8.999999999900021e-11,-9.130800008293879e-07
9.049999999900021e-11,-9.130799895493473e-07
9.099999999900022e-11,-9.130800007547278e-07
9.149999999900022e-11,-9.130799888952887e-07
9.199999999900022e-11,-9.130800012904582e-07
9.249999999900021e-11,-9.130799882843762e-07
9.299999999900022e-11,-9.130800015355247e-07
9.349999999900022e-11,-9.130799886089942e-07
9.399999999900022e-11,-9.130800016821683e-07
9.449999999900022e-11,-9.130799886354776e-07
9.499999999900022e-11,-9.13080001678249e-07
9.549999999900023e-11,-9.130799885337945e-07
9.599999999900023e-11,-9.1308000150295e-07
9.649999999900023e-11,-9.130799878623779e-07
9.699999999900022e-11,-9.130800024955032e-07
9.749999999900024e-11,-9.130799875830488e-07
9.799999999900023e-11,-9.130800023629966e-07
9.849999999900023e-11,-9.130799874016804e-07
9.899999999900023e-11,-9.130800029015849e-07
9.949999999900023e-11,-9.130799867477842e-07
9.999999999900024e-11,-9.130800031096987e-07
1.004999999990002e-10,-9.13079986756704e-07
1.009999999990002e-10,-9.130800039003378e-07
1.014999999990002e-10,-9.130799863487212e-07
1.019999999990002e-10,-9.130800038953457e-07
1.024999999990002e-10,-9.130799859375412e-07
1.029999999990002e-10,-9.13080004297498e-07
1.034999999990002e-10,-9.130799852699961e-07
1.039999999990002e-10,-9.130800047480083e-07
1.044999999990002e-10,-9.130799852116923e-07
1.049999999990002e-10,-9.130800046389061e-07
1.054999999990002e-10,-9.130799852232599e-07
1.059999999990002e-10,-9.130800052481121e-07
1.064999999990003e-10,-9.130799850212723e-07
1.069999999990003e-10,-9.130800050820623e-07
1.074999999990003e-10,-9.1307998446773e-07
1.079999999990003e-10,-9.130800055726313e-07
1.084999999990002e-10,-9.130799846394607e-07
1.089999999990003e-10,-9.1308000519318e-07
1.094999999990003e-10,-9.130799846264701e-07
1.099999999990003e-10,-9.130800060846344e-07
1.104999999990003e-10,-9.130799839033267e-07
1.109999999990003e-10,-9.130800064605931e-07
1.114999999990003e-10,-9.130799835743779e-07
1.119999999990003e-10,-9.130800069809554e-07
1.124999999990003e-10,-9.130799832507232e-07
1.129999999990003e-10,-9.130800073944801e-07
1.134999999990003e-10,-9.130799821344819e-07
1.139999999990003e-10,-9.13080008179364e-07
1.144999999990003e-10,-9.130799816686452e-07
1.149999999990003e-10,-9.130800087956031e-07
1.154999999990003e-10,-9.130799815094814e-07
1.159999999990003e-10,-9.130800087560008e-07
1.164999999990003e-10,-9.1307998133682e-07
1.169999999990003e-10,-9.130800090323981e-07
1.174999999990003e-10,-9.130799820985928e-07
1.179999999990003e-10,-9.130800079123014e-07
1.184999999990003e-10,-9.130799825091082e-07
1.189999999990003e-10,-9.130800075956513e-07
1.194999999990003e-10,-9.130799822581548e-07
1.199999999990003e-10,-9.130800078677924e-07
1.204999999990003e-10,-9.130799822211738e-07
1.209999999990003e-10,-9.130800083742223e-07
1.214999999990003e-10,-9.130799817800794e-07
