V4.p X,V4.p Y
5.949999999900013e-11,-2.974491684141351e-06
5.999999999900015e-11,-2.974491716770262e-06
6.049999999900014e-11,-2.974491683004241e-06
6.099999999900014e-11,-2.974491721315023e-06
6.149999999900014e-11,-2.974491669769434e-06
6.199999999900015e-11,-2.974491732688711e-06
6.249999999900015e-11,-2.974491665118929e-06
6.299999999900015e-11,-2.974491735334778e-06
6.349999999900015e-11,-2.97449165520203e-06
6.399999999900014e-11,-2.974491738225696e-06
6.449999999900016e-11,-2.974491652785795e-06
6.499999999900015e-11,-2.974491742286354e-06
6.549999999900015e-11,-2.974491658691431e-06
6.599999999900015e-11,-2.974491735125476e-06
6.649999999900016e-11,-2.974491652851137e-06
6.699999999900016e-11,-2.974491746668342e-06
6.749999999900016e-11,-2.974491648670522e-06
6.799999999900016e-11,-2.974491747132062e-06
6.849999999900017e-11,-2.974491644442076e-06
6.899999999900017e-11,-2.974491741070815e-06
6.949999999900016e-11,-2.974491643903265e-06
6.999999999900016e-11,-2.974491743824199e-06
7.049999999900016e-11,-2.974491648793462e-06
7.099999999900017e-11,-2.974491741586402e-06
7.149999999900017e-11,-2.974491647158812e-06
7.199999999900017e-11,-2.974491742441934e-06
7.249999999900017e-11,-2.97449163898841e-06
7.299999999900018e-11,-2.974491752094053e-06
7.349999999900018e-11,-2.974491629052184e-06
7.399999999900017e-11,-2.974491761133867e-06
7.449999999900017e-11,-2.974491617258472e-06
7.499999999900017e-11,-2.974491764456199e-06
7.549999999900018e-11,-2.974491615892507e-06
7.599999999900018e-11,-2.974491764511133e-06
7.649999999900018e-11,-2.974491613640798e-06
7.699999999900018e-11,-2.974491758804424e-06
7.749999999900019e-11,-2.974491623255231e-06
7.799999999900019e-11,-2.974491750251641e-06
7.849999999900018e-11,-2.974491628872825e-06
7.899999999900018e-11,-2.974491746434077e-06
7.949999999900018e-11,-2.974491631316346e-06
7.999999999900019e-11,-2.974491736058885e-06
8.049999999900019e-11,-2.974491637617562e-06
8.099999999900019e-11,-2.974491727489809e-06
8.149999999900019e-11,-2.97449164164458e-06
8.19999999990002e-11,-2.97449173118066e-06
8.24999999990002e-11,-2.974491634645643e-06
8.299999999900019e-11,-2.974491735879602e-06
8.349999999900019e-11,-2.974491630895137e-06
8.399999999900019e-11,-2.974491735926543e-06
8.44999999990002e-11,-2.974491626633609e-06
8.49999999990002e-11,-2.974491740087568e-06
8.54999999990002e-11,-2.974491630586858e-06
8.59999999990002e-11,-2.974491730823729e-06
8.649999999900021e-11,-2.974491633324704e-06
8.699999999900021e-11,-2.974491734825585e-06
8.749999999900021e-11,-2.974491624313298e-06
8.79999999990002e-11,-2.974491743787934e-06
8.849999999900021e-11,-2.974491615734388e-06
8.899999999900021e-11,-2.974491745571849e-06
8.949999999900021e-11,-2.974491613398265e-06
